날짜,종가,오픈,고가,저가,변동 %
2021년 03월 31일,"1,127.17","1,133.54","1,134.68","1,125.32",-0.48%
2021년 03월 30일,"1,132.59","1,132.56","1,136.29","1,131.42",0.09%
2021년 03월 29일,"1,131.56","1,128.95","1,136.41","1,128.77",0.27%
2021년 03월 26일,"1,128.52","1,135.24","1,136.09","1,128.07",-0.58%
2021년 03월 25일,"1,135.12","1,135.40","1,138.02","1,131.93",0.02%
2021년 03월 24일,"1,134.90","1,133.40","1,135.96","1,130.24",0.18%
2021년 03월 23일,"1,132.90","1,126.49","1,134.48","1,125.02",0.61%
2021년 03월 22일,"1,126.00","1,129.47","1,134.01","1,125.61",-0.28%
2021년 03월 19일,"1,129.12","1,128.25","1,134.80","1,125.31",0.12%
2021년 03월 18일,"1,127.75","1,121.91","1,131.30","1,120.04",0.58%
2021년 03월 17일,"1,121.21","1,129.93","1,134.31","1,120.65",-0.69%
2021년 03월 16일,"1,129.00","1,132.85","1,135.91","1,128.14",-0.30%
2021년 03월 15일,"1,132.35","1,136.50","1,138.78","1,130.92",-0.32%
2021년 03월 12일,"1,136.00","1,130.85","1,139.35","1,127.27",0.50%
2021년 03월 11일,"1,130.35","1,136.91","1,140.99","1,128.90",-0.49%
2021년 03월 10일,"1,135.91","1,135.91","1,145.60","1,135.31",0.09%
2021년 03월 09일,"1,134.91","1,141.83","1,144.85","1,133.38",-0.52%
2021년 03월 08일,"1,140.83","1,128.85","1,144.07","1,127.06",1.14%
2021년 03월 05일,"1,128.00","1,131.03","1,137.27","1,124.04",-0.25%
2021년 03월 04일,"1,130.87","1,127.05","1,133.06","1,123.36",0.43%
2021년 03월 03일,"1,126.05","1,125.29","1,128.05","1,116.95",0.09%
2021년 03월 02일,"1,125.01","1,113.53","1,128.28","1,102.06",1.05%
2021년 03월 01일,"1,113.33","1,124.89","1,125.15","1,113.09",-0.94%
